EG20230404a1,EG20230404a2,EG20230404a3,EG20230404a4,EG20230404a5,EG20230404a6,EG20230404a7,EG20230404a8,EG20230410b1,EG20230410b2,EG20230410b3,EG20230410b4,EG20230410c1,EG20230410c2,EG20230410c3,EG20230410c4,EG20230410c5,EG20230410c6,EG20230410c8,EG20230410c9,EG20230410c10,EG20230410c11,EG20230410c12,EG20230410c13
4.7016001,1.4986,10.3451,5.7950001,3.2305,0.95279998,,1.9408,1.6957,1.4244,,,1.8679,2.5932,8.1562996,,,2.9558001,7.4492998,4.2192998,4.8052001,2.9184,12.672,0.98729998
4.7873998,1.5338,10.4523,5.9015999,3.2518001,0.97689998,,1.9677,1.7308,1.4584,,,1.9062001,2.7033,8.3317003,,,3.0088999,7.7486,4.2735,4.8961,2.9696,12.8417,1.0181
4.8673,1.566,10.5546,5.9914999,3.2955999,0.99650002,,1.9938999,1.7802,1.4953001,,,1.9554,2.8318,8.4680996,,,3.0597,7.8551998,4.3111,4.9520998,3.0192001,13.0917,1.0425
5.0419002,1.6013,10.6476,6.0576,3.6268001,1.0135,,2.1062,1.8243999,1.5264,,,3.2667,3.0764999,8.6739998,,,3.1324,7.9988999,4.3593001,5.0311999,3.1478,13.2848,1.0718
5.0935998,1.6336,10.7453,6.2484002,3.671,1.0307,,2.5425,1.8667001,1.556,,,3.3552999,3.1703999,8.8043003,,,3.1600001,8.099,4.4082999,5.0928998,3.2074001,13.4084,1.0984
5.1708002,1.6615,10.8493,6.3049002,3.7523999,1.0502,,3.1084001,1.9208,1.585,,,3.4145999,3.3101001,8.9413004,,,3.2097001,8.2370005,4.4612002,5.1483002,3.2721,13.5185,1.1226
5.2778001,1.698,10.9256,6.3989,3.8403001,1.0702,,3.2742,1.9644001,1.6143,,,3.4665999,3.4138,9.0474997,,,3.2606001,8.3056002,4.5098,5.1957002,3.3197,13.6154,1.1502
5.3580999,1.7373,11.0725,6.4850001,3.9760001,1.0877,,3.3065,1.9985,1.6464,,,3.5025001,3.5181999,9.1852999,,,3.3099,8.4035997,4.5606999,5.2793002,3.3733001,13.7442,1.1736
5.4414001,1.7819999,11.1411,6.5876999,4.0272999,1.1079,,3.3933001,2.098,1.6752,,,3.546,3.5852001,9.3191996,,,3.3808,8.5492001,4.6118999,5.3404999,3.4175999,13.827,1.1928999
5.5840998,1.8191,11.2865,6.6430998,4.1324,1.127,,3.4454,2.1517999,1.7138,,,3.5857,3.6558001,9.4575996,,,3.4107001,8.6035995,4.6616998,5.4018998,3.4616001,13.8953,1.2148
