20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g
1.1726,0.7999,0.8039,13.0243,1.2690001,1.3112,2.4109001,2.8666,4.3319001,4.48,1.3878,0.64670002,1.1390001,1.5482,6.6237998,9.0798998,1.595,0.77810001,1.4818,0.74089998,1.048,1.3943,1.8374,1.3957,0.19679999,2.6894,12.6189,0.98460001,8.0759001,1.8163,0.73580003,0.56050003,1.2713,0.7845,1.1576999,1.1788,,0.88069999,1.8972
1.1923,0.82929999,0.83329999,13.1433,1.3186001,1.3698,2.5666001,2.9855001,4.4766998,4.6016998,1.4381,0.68000001,1.1974,1.5983,7.5693998,9.2939997,1.648,0.8114,1.5447,0.76880002,1.1004,1.438,1.9308,1.4602,0.20469999,3.0906999,12.9818,1.0240999,8.2335997,1.8799,0.7665,0.5966,1.3365999,0.81,1.2167,1.2225,,0.9303,1.9836
1.2285,0.8585,0.86369997,13.1936,1.3828,1.4232,2.7637999,3.056,4.6339002,4.8845,1.4844,0.7105,1.2375,1.6552,8.8970003,9.5640001,1.7082,0.85070002,1.5974,0.80059999,1.1429,1.4938,2.0322001,1.5035,0.2131,3.4898,12.9826,1.0759,8.474,1.9438,0.79820001,0.63779998,1.4161,0.83749998,1.2644,1.2653,,0.96240002,2.0859001
1.2668,0.88620001,0.88999999,13.3029,1.4225,1.4844,2.8594999,3.3362,4.7426,4.9951,1.5321,0.74049997,1.2807,1.7467999,10.0224,9.8828001,1.7643,0.88200003,1.6717,0.83130002,1.1987,1.5469,2.1129,1.5609,0.2236,3.6919,13.3516,1.1092,8.6381998,2.0864999,0.83029997,0.65789998,1.4664,0.87199998,1.3154,1.314,,0.9989,2.1852
1.2932,0.91500002,0.91390002,13.4306,1.4730999,1.5403,2.9096999,3.3975,4.8681998,5.0918999,1.5764,0.76959997,1.3365999,1.8052,10.9426,9.9970999,1.8365999,0.917,1.7359999,0.8664,1.2455,1.6048,2.1888001,1.6253,0.2335,5.3056002,13.3523,1.152,8.8938999,2.1926,0.86570001,0.6796,1.5065,0.9048,1.3638999,1.3578,,1.0348001,2.2753
1.3241,0.93910003,0.94090003,13.5358,1.5335,1.5964,3.0638001,3.5797999,5.0506001,5.3639998,1.6517,0.8035,1.3898,1.8652,12.1019,10.5589,1.888,0.95389998,1.819,0.89649999,1.2937,1.6578,2.2623999,1.693,0.24250001,5.3972998,13.7091,1.2135,9.0843,2.2793,0.89560002,0.7001,1.5574,0.93650001,1.4119999,1.3977,,1.1016999,2.3771999
1.3816,0.96509999,0.98210001,13.6071,1.5753,1.6431,3.4819,3.6668,5.178,5.4720001,1.7059,0.83289999,1.4468,1.9365,12.3243,11.0823,1.957,0.98729998,1.8745,0.92720002,1.3417,1.7099,2.3485,1.7569,0.2527,5.4755001,13.7099,1.2539001,9.4429998,2.3873,0.92479998,0.71670002,1.6160001,0.95829999,1.4625,1.4491,,1.1302,2.4677
1.4104,0.99199998,1.0148,13.7128,1.6108,1.6966,3.6921,3.8943,5.3992,5.5766001,1.7668999,0.86379999,1.4841,2.5941999,12.5006,11.3112,3.7035999,1.0186,1.9534,0.9558,1.3890001,1.785,2.4258001,1.8252,0.26109999,5.6799002,14.0106,1.2983,9.6526003,2.4702001,0.95590001,0.73650002,1.6658,0.9835,1.517,1.499,,1.1668,2.5716
1.4566,1.02,1.0474,13.8345,1.6568,1.7506,3.8810999,4.2326999,5.6093001,5.6820002,1.839,0.90439999,1.5235,3.273,12.6246,11.76,4.9071999,1.0506999,2.3618,0.98629999,1.437,1.8417,2.5581,1.8878,0.27020001,6.0925999,14.0114,1.3436,9.9281998,2.5806999,0.98559999,0.75709999,1.7124,1.0103,1.5642,1.5475,,1.2052,2.6802001
1.4829,1.0466,1.0739,13.9521,1.7057,1.7958,4.1792002,4.3842001,5.8343,5.7795,1.9231,0.935,1.5772001,4.1946998,12.7147,12.144,5.2796998,1.08,2.5513,1.0159,1.4845001,1.8861001,2.6327,1.9437,0.27849999,6.3053002,14.3038,1.3849,10.2075,2.6916001,1.0149,0.77990001,1.7799,1.0403,1.6099,1.5932,,1.2424999,2.7706001
