20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
1.3474,0.86510003,0.89429998,8.7863998,1.1719,1.778,2.9031,2.4675,4.7835002,5.0053,1.5457,0.78509998,1.1046,1.6424,4.1601,6.7719002,4.1588001,0.93709999,1.2479,0.96509999,1.2508,2.3408999,1.7723,1.1719,0.60390002,2.8022001,8.6946001,1.0089,5.7968001,1.3104,0.98110002,0.6214,1.2388,0.63050002,1.1538,1.2343,11.0492,0.69090003,1.9091001,1.1691999
1.3744,0.92019999,0.9235,8.9899998,1.2309999,1.8369,2.9695001,2.5190001,4.9082999,5.1781998,1.604,0.81519997,1.1665,1.7048,4.1817002,6.9924998,4.1690998,0.97039998,1.2924,1.0063,1.3006999,2.5246,1.8572,1.223,0.6286,2.9138999,9.1757002,1.0563,6.1300001,1.3606,1.0202,0.64429998,1.2847,0.66030002,1.2079,1.2867,11.5912,0.71439999,2.1094999,1.2179
1.5182,0.95249999,0.93769997,9.1887999,1.2776,1.902,3.1568999,2.5817001,5.0591998,5.3018999,1.6863,0.8527,1.2067,1.8012,5.2072001,7.1820998,4.1777,1.0183001,1.3526,1.0487,1.3601,2.7249999,1.9367,1.2747,0.65579998,3.0880001,9.6955004,1.0971,6.4022002,1.4286,1.0625,0.66670001,1.3306,0.68610001,1.2644,1.3437001,11.9881,0.74159998,2.2045,1.2618999
1.556,0.98809999,0.97119999,9.7995996,1.3212,1.9766001,3.5637,2.6612999,5.177,5.4920001,1.7302001,0.88160002,1.2716,1.8697,5.7379999,7.7294002,4.1914001,1.0623,1.414,1.0872999,1.4165,2.7946999,2.0021,1.3253,0.68089998,3.1784999,10.1689,1.1302,6.6753998,1.4851,1.1034,0.68610001,1.4069,0.71689999,1.312,1.3956,12.1868,0.77560002,2.3015001,1.3105
1.6078,1.0113,1.0121,10.1695,1.3664,2.1245,3.7595999,2.7047999,5.3504,5.5973001,1.8033,0.91280001,1.3266,1.9265,5.7613001,7.9631,4.7904,1.1025,1.4766999,1.1408,1.4694,2.8676,2.0839,1.3777,0.70630002,3.3362,10.7273,1.1894,6.8901,1.5376,1.1431,0.7087,1.4516,0.75230002,1.3585,1.4589,12.4138,0.80909997,2.392,1.3609999
1.7456,1.0532,1.0519,10.1721,1.3917,2.1870999,3.9516001,2.7674,5.4640999,5.7042999,1.8645,0.94260001,1.3757,2.1373999,5.9052,8.4069996,4.8053002,1.1494,1.525,1.1733,1.5244,2.9193001,2.1643,1.4373,0.73089999,3.4983001,11.1627,1.2286,7.0950999,1.6005,1.1862,0.72979999,1.4997,0.78600001,1.4075,1.5109,12.6429,0.84399998,2.405,1.4121
1.7874,1.0949,1.0565,10.5651,1.4017,2.3618,4.1292,2.8698001,5.6308999,5.8976998,1.9318,0.98009998,1.4167,2.1847,5.9253998,8.5277996,5.1637001,1.1895,1.5930001,1.2129,1.5739,2.9923,2.2441001,1.5036,0.75300002,3.5724001,11.5893,1.2688,7.2427001,1.6552,1.2276,0.74839997,1.5402,0.81779999,1.4638,1.5641,12.9085,0.87370002,2.4346001,1.46
1.8026,1.1332,1.0951,10.7855,1.4491,2.5287001,4.1946001,2.9779,5.8333998,5.9991002,1.9779,1.0144,1.464,2.3477001,5.9847999,9.1883001,5.1766,1.2373,1.6542,1.2529,1.6216,3.1638,2.3232,1.5515,0.77990001,3.6961,12.0048,1.3049999,7.4239998,1.6927,1.2703,0.77289999,1.5998,0.84909999,1.5081,1.6099,13.1887,0.90270001,2.4891,1.5061001
1.8266,1.1813999,1.1318001,10.9577,1.4938,2.7179999,4.3364,3.0583,5.9973001,6.0921998,2.1122999,1.0508,1.5088,2.5042,6.8052001,10.0042,5.5885,1.2815,1.6991,1.293,1.676,3.3369999,2.3961999,1.6148,0.80229998,3.777,12.2804,1.3361,7.7143998,1.7565,1.3142,0.79390001,1.6489,0.87720001,1.5696,1.6585,13.4793,0.9411,2.5889001,1.5563999
1.8823,1.2322,1.1718,11.4054,1.5364,2.7825999,4.5560999,3.1285,6.2806001,6.1904998,2.1454999,1.0880001,1.5567,2.5572,6.8410001,10.5636,5.7842999,1.3182,1.7487,1.3386,1.7262,3.5388999,2.4762001,1.6798,0.83450001,3.9358001,12.5474,1.3773,7.8470001,1.8095,1.3545001,0.81699997,1.7038,0.91240001,1.6168,1.725,13.7735,0.98299998,2.6905,1.6091
1.923,1.2623,1.2114,11.7971,1.5808001,2.9338,4.7480001,3.2507999,6.5618,6.4028001,2.3148,1.1222,1.6083,2.6056001,7.0275002,10.967,5.9426999,1.3604,1.8126,1.383,1.7761,3.7678001,2.5567999,1.7287,0.8599,4.1066999,12.8238,1.4105999,7.9844999,1.8654,1.3964,0.8369,1.7636,0.94379997,1.6632,1.7822,14.1652,1.0089999,2.7815001,1.6641001
1.9524,1.2974,1.2459,11.9731,1.6292,2.9967,4.9217,3.2927999,6.6683998,6.5746002,2.3699,1.1298,1.6583,2.7602999,7.1020999,11.1658,5.9794002,1.3978,1.8579,1.4186,1.8301001,3.9236,2.6355,1.7807,0.88889998,4.1697998,13.0475,1.447,8.2444,1.9263,1.4418,0.8603,1.8059,0.96700001,1.7117,1.8333,14.4169,1.0585999,2.8785,1.7066
2.0646999,1.3479,1.2868,12.0779,1.6838,3.1566999,5.1289001,3.3209,6.9017,6.8063998,2.4867001,1.156,1.704,2.8770001,7.3537998,11.6952,6.1728001,1.4361,1.9214,1.4588,1.8762,4.1894999,2.7203,1.826,0.91909999,4.2930002,13.2984,1.4954,8.4721003,1.9894,1.483,0.88330001,1.8465,0.99559999,1.7613,1.8875999,14.6522,1.0951999,2.9670999,1.756
2.0948,1.383,1.3226,12.1701,1.7539001,3.3408,5.3512001,3.3627,7.145,6.9015999,2.569,1.1925,1.7569,2.9099,7.7951002,12.0313,6.3908,1.4715,1.9747,1.5103,1.9293,4.3613,2.8132,1.8783,0.9533,4.3583002,13.5266,1.5221,8.7522001,2.0720999,1.5253,0.90270001,1.9021,1.0231,1.808,1.9450999,14.9259,1.1207,3.0748999,1.7997
2.1233001,1.4201,1.3707,12.2406,1.8049001,3.5472,5.5156999,3.4537001,7.2867999,7.0112,2.7195001,1.2248,1.8197,2.96,7.8408999,12.1926,6.7916002,1.5066,3.4990001,1.55,1.9737999,4.5493999,2.9117,1.9268,0.9817,4.4882002,13.7691,1.559,8.9674997,2.1213,1.5687,0.92250001,1.96,1.0513,1.8537,1.9981,,1.1487,3.1743,1.8380001
2.1824999,1.4506,1.4047,12.3867,1.8557,3.7170999,5.7740998,3.5176001,7.4773002,7.1090999,2.7597001,1.2594,1.8748,3.1073999,7.9344001,12.3676,7.197,1.5479,3.7837,1.5883,2.0934,4.7248001,2.9919,1.9761,1.0059,4.5773001,14.0348,1.6023,9.1313,2.1770999,1.6079,0.94120002,1.9960001,1.0799,1.8949,2.0939,,1.1788,3.2825,1.9031
2.3417001,1.492,1.4567,12.4655,1.9076,3.9123001,5.9580002,3.5983,7.6754999,7.2972002,2.9147999,1.2816,1.9213001,3.1466999,7.9864998,12.4735,7.3982,1.5872,3.8868999,1.6362,2.1526999,4.7969999,3.0883,2.0572,1.0292,4.6820998,14.2745,1.6452,9.2790003,2.2737999,1.6454999,0.96060002,2.1222,1.1076,1.9427,2.1598001,,1.2076,3.3829,1.9579
