20220818a,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191217b,20191217c,20191217e,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.97500002,1.5461,9.9778004,1.3317,1.5252,2.5349,0.38,2.1489999,5.3178,1.01,1.1975,4.3228998,1.4220001,1.3322999,0.7331,1.1749001,0.77130002,1.5529,0.55809999,0.87650001,3.5922999,1.977,1.3889,0.81550002,1.3915,2.6605999,2.0471001,1.7704999,11.1475,1.4789,1.8667001,0.72219998,1.0538,0.79900002,3.6164999
1.007,1.5937001,10.3186,1.3665,1.574,2.6443999,0.39250001,2.2467,5.4587002,1.0427001,1.2419,4.4622998,1.4653,1.3643,0.75910002,1.2102,0.79500002,1.5977,0.57569999,0.903,3.7330999,2.006,1.4349999,0.84170002,1.455,2.7412,2.1082001,1.8246,11.3877,1.5293,1.9346,0.74550003,1.0826,0.82359999,3.7044001
1.0353,1.6444,10.6789,1.4233,1.6202,2.7249999,0.40580001,2.3159001,5.5517001,1.0824,1.2822,4.5356998,1.5059,1.4049,0.78329998,1.2486,0.8197,1.6468,0.59359998,0.926,3.8513,2.0778,1.4733,0.85949999,1.5033,2.8577001,2.1710999,1.8851,11.5685,1.5732,2.0042,0.76880002,1.1135,0.84869999,3.8259001
1.0745,1.6856,11.0432,1.4704,1.6645,2.7952001,0.41890001,2.3913,5.6845999,1.1025,1.3141,4.6402998,1.5481,1.4500999,0.80699998,1.2904,0.8459,1.6993001,0.61089998,0.95190001,3.9581001,2.1426001,1.5141,0.88309997,1.5482,2.9391999,2.2474,1.9373,11.9325,1.6231,2.1231999,0.79079998,1.1442,0.87290001,3.9157
1.1125,1.7584,11.4262,1.5134,1.723,2.8742001,0.4305,2.4869001,5.7495999,1.1255,1.3504,4.7463002,1.6071,1.4922,0.8301,1.3257999,0.8682,1.7454,0.62840003,0.9781,4.0999999,2.2058001,1.5523,0.91149998,1.5806,3.0566001,2.3079,1.9965,12.2351,1.6719,2.1846001,0.8136,1.1744,0.89889997,3.9944
1.143,1.8171,11.8291,1.5601,1.7793,2.9403999,0.44220001,2.5548,5.9232998,1.163,1.3918999,4.8383002,1.6472,1.5226001,0.85409999,1.3738,0.89170003,1.7891001,0.64569998,1.0065,4.1887002,2.2729001,1.6041,0.93660003,1.6305,3.1350999,2.3743999,2.0520999,12.5028,1.7236,2.2934999,0.83499998,1.2102,0.92309999,4.0774002
1.1719,1.883,12.149,1.5937001,1.8257,3.0032001,0.45379999,2.6324,6.0777998,1.1864001,1.4286,4.9503002,1.6875,1.5638,0.8761,1.4147,0.91649997,1.8333,0.66360003,1.0352,4.3084002,2.346,1.6378,0.95950001,1.6586,3.2518001,2.4470999,2.1047001,12.7501,1.7709,2.3501,0.85780001,1.2421,0.94940001,4.1795998
1.2035,1.9256999,12.3698,1.6299,1.8791,3.0789001,0.46610001,2.6898999,6.1918001,1.2064,1.4629,5.1019001,1.722,1.6034,0.89910001,1.4556,0.94489998,1.8791,0.68229997,1.0604,4.4253001,2.3970001,1.6759,0.98079997,1.6997,3.3341,2.5122001,2.1601,13.0141,1.8200001,2.4772999,0.88080001,1.2719001,0.97530001,4.3154998
1.2413,1.976,12.6737,1.6629,1.9236,3.142,0.47889999,2.7613001,6.5036001,1.2539999,1.497,5.1922002,1.7666,1.6422,0.92330003,1.4928,0.96609998,1.9236,0.70099998,1.0880001,4.5191998,2.4663,1.727,1.0137,1.7361,3.4528999,2.5862999,2.2342,13.2352,1.8638999,2.5381,0.90380001,1.3068,1.0012,4.4408002
1.2765,2.0632,12.9536,1.6971,1.9735,3.2325001,0.4905,2.8440001,6.5932002,1.2842,1.5292,5.3109999,1.8127,1.6916,0.94639999,1.5353,0.9914,1.9691,0.71929997,1.1171,4.6464,2.5294001,1.7639,1.0287,1.7798001,3.5276,2.6530001,2.2897999,13.4362,1.9096,2.5987,0.92650002,1.3444999,1.0261,4.553
1.2989,2.1020999,13.2535,1.7503,2.0290999,3.2890999,0.50400001,2.8819001,6.7266002,1.3167,1.5642999,5.3853002,1.8468,1.7257,0.96880001,1.5699,1.0115,2.0295999,0.7385,1.1438,4.7544999,2.5962,1.7977,1.0542001,1.8558,3.6564,2.7126999,2.3552999,13.6164,1.9622999,2.7072999,0.9497,1.3774,1.0520999,4.6543999
1.3352,2.1471,13.5627,1.793,2.0803001,3.3491001,0.51730001,2.9368999,6.7940998,1.348,1.6049,5.4765,1.9026,1.7724,0.99360001,1.6059999,1.0355999,2.0687001,0.75529999,1.169,4.8676,2.6082001,1.8292,1.0788,1.9071,3.7376001,2.7776,2.4305,13.8708,2.0060999,2.7816,0.97509998,1.4088,1.0783,4.7420001
1.3585,2.2648001,13.836,1.8414,2.1063001,3.4349,0.52939999,2.9935,7.0035,1.3978,1.6365,5.5598998,1.9571,1.8176,1.0172,1.6439,1.0555,2.1171,0.77130002,1.1938,4.9797001,2.7119999,1.8735,1.1083,1.9428,3.8511,2.8440001,2.4793999,14.2227,2.0197001,2.8922,0.9989,1.4397,1.1015,4.8601999
1.3857,2.3225,14.0611,1.8748,2.1519001,3.5023999,0.54149997,3.0618,7.1901999,1.4282,1.6835001,5.6862998,2.1445,1.8588001,1.0402,1.6826,1.0749,2.1596,0.78839999,1.2221,5.085,2.7853,1.9056,1.1303999,1.9845999,3.9396999,2.9063001,2.5381999,14.3946,2.0671,2.9526,1.0228,1.4742,1.1260999,4.9754
1.4242001,2.3859999,14.387,1.9136,2.2056999,3.5739,0.55180001,3.1277001,7.5131998,1.4598,1.7174,5.7528,2.1777999,1.9124,1.0616,1.7214,1.0987,2.2219,0.80659997,1.2493,5.1915998,2.8069,1.9546,1.1559,2.0367999,4.0551,2.9698,2.5991001,14.5556,2.1157999,3.0746,1.0444,1.5074,1.1506,5.0767999
1.4527,2.4890001,14.6474,1.9487,2.2399001,3.6566,0.56879997,3.1954999,7.7276001,1.4814,1.7522,5.8832998,2.3145001,1.9514,1.0853,1.7539001,1.1217,2.2684,0.82429999,1.2749,5.3200998,2.9026999,1.9929,1.1801,2.0787001,4.1314001,3.0444,2.6547,14.679,2.1631,3.1424,1.0683,1.5424,1.1746,5.1594
1.4814,2.5325,14.9341,1.9782,2.2844,3.7512,0.59850001,3.2606001,7.8456001,1.5249,1.7852,5.9727001,2.3515,1.9788001,1.1058,1.7891999,1.1432,2.306,0.84079999,1.3011,5.4524002,2.9568,2.0662,1.1971,2.1231999,4.2016001,3.1066999,2.7119,14.8248,2.2056999,3.2607,1.0905,1.5842,1.1997,5.2614002
