20220818a,20220818c,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206a,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191209k,20191217b,20191217c,20191217e,20191217f,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.421,0.58819997,1.4052,8.4779997,0.8617,0.84759998,1.4944,0.35370001,0.9249,4.9523001,0.57599998,0.89249998,8.3794003,1.0674,0.9005,1.3194,0.51709998,0.97180003,0.7198,1.0342,0.50410002,0.57239997,3.0353999,1.5114,0.93239999,0.58840001,0.94630003,1.5294,1.9301,1.7327,1.1362,2.4528999,1.9957,0.76709998,1.3164999,0.44459999,0.61519998,0.49700001,3.7621
0.43759999,0.61430001,1.4692,8.8254995,0.8951,0.88190001,1.544,0.36829999,0.96200001,5.6539998,0.59490001,0.93760002,8.8472996,1.1224,0.9289,1.3578,0.53960001,1.0240999,0.7482,1.0763,0.5244,0.59789997,3.1968999,1.5898,0.96420002,0.6135,0.98970002,1.5897,2.1540999,1.7994,1.1855,3.1475,2.0129001,0.79949999,1.3854001,0.4637,0.63730001,0.5187,3.8518
0.45649999,0.639,1.5087,9.1358995,0.92820001,0.92379999,1.6077,0.38190001,1.0017,6.3322001,0.61070001,0.97219998,9.2427998,1.1775,0.95660001,1.4045,0.55970001,1.0698,0.77759999,1.1203001,0.5442,0.62309998,3.3450999,1.6476001,0.99550003,0.63340002,1.0307,1.6634001,2.5517001,1.8729,1.2315,3.5539,2.2925,0.83160001,1.4446,0.49129999,0.662,0.5395,3.9979
0.47130001,0.66820002,1.5613,9.5535002,0.9601,0.95670003,1.6777,0.39570001,1.0302,6.6300001,0.62669998,1.0001,9.6472998,1.2255,1.0061001,1.4612,0.58020002,1.1285,0.80839998,1.1641001,0.56459999,0.6455,3.4649,1.6508,1.0223,0.65869999,1.0712,1.7328,2.7019,1.9437,1.2802,3.6961999,2.5959001,0.86400002,1.5039001,0.51090002,0.68730003,0.56010002,4.1708002
0.4937,0.69169998,1.6019,9.9252996,0.99680001,0.98720002,1.7411,0.40979999,1.0709,6.743,0.64770001,1.0334001,9.8706999,1.2747999,1.0465,1.541,0.60290003,1.1798,0.83670002,1.2079,0.58389997,0.6749,3.5885,1.7222,1.0568,0.67860001,1.1129,1.8079,2.8406999,2.0493,1.3261,3.904,2.7965,0.89499998,1.5687,0.53049999,0.71499997,0.58179998,4.3572998
0.51020002,0.71789998,1.6512001,10.2724,1.0316,1.0168999,1.8150001,0.42300001,1.1069,7.0022998,0.6742,1.0779999,10.0518,1.3167,1.0834,1.6042,0.6243,1.2285,0.86580002,1.2485,0.6031,0.69910002,3.7042999,1.7871,1.0977,0.69819999,1.1571,1.8828,3.0448999,2.1384001,1.3658,4.0901999,2.9479001,0.9296,1.6228,0.54879999,0.74299997,0.6074,4.5054998
0.53539997,0.74419999,1.6950001,10.6679,1.0632,1.0602,1.8728,0.43740001,1.1391,7.1485,0.69099998,1.1219,10.3172,1.3615,1.1292,1.6628,0.64709997,1.2733001,0.89649999,1.2923,0.62330002,0.72539997,3.9784999,1.8444999,1.1286,0.72759998,1.2169,1.9433,3.1996,2.2337999,1.4123,4.2978001,3.1031001,0.96149999,1.686,0.56959999,0.76700002,0.62870002,4.6725998
0.55220002,0.76670003,1.7535,10.9202,1.0965,1.0955,1.9622999,0.4515,1.1723,7.3557,0.71859998,1.1645,10.4978,1.4071,1.1636,1.7232,0.66949999,1.3181,0.9303,1.3333,0.64520001,0.74849999,4.0886998,1.9299001,1.1787,0.7507,1.265,2.0243001,3.3539,2.3383999,1.4649,4.4535999,3.3422,0.99870002,1.7443,0.58899999,0.79720002,0.64969999,4.8305998
0.57029998,0.79170001,1.8073,11.3248,1.1298,1.1269,2.0883,0.46509999,1.2043,7.5714002,0.7392,1.2015001,10.7019,1.4562,1.2038,1.7754,0.69169998,1.3683,0.96240002,1.3732001,0.66610003,0.77450001,4.2392001,1.9979,1.223,0.77749997,1.3053,2.0883999,3.6531,2.4375,1.5122,4.8498998,3.5483999,1.0306,1.8132,0.60879999,0.82239997,0.66909999,4.9748001
0.5844,0.81300002,1.8529,11.7398,1.1629,1.1693,2.2362001,0.48109999,1.2331001,7.7426,0.7755,1.2399,10.843,1.5022,1.2388,1.823,0.7119,1.4198999,0.99239999,1.4112,0.6864,0.79970002,4.3794999,2.0058,1.2718,0.80049998,1.3582,2.1729,3.7981999,2.5321,1.5578001,5.0035,3.6846001,1.0646,1.8685,0.62690002,0.84890002,0.69239998,5.1377001
