20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216h,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
1.6066999,1.4244,1.2361,,1.4147,1.9593,3.9948001,5.3383002,5.5446,1.3929,1.1513,1.9881001,5.0033998,,,1.7251,1.4879,1.6319,3.2038,1.9481,3.5341001,3.8053,1.1801,0.77289999,11.4039,,2.2040999,5.5499001,4.9489002,1.6702,1.314,1.7394,1.0035,3.2564001,12.5978,,8.9561996,3.7995,1.9433
1.6404999,1.4549,1.2683001,,1.4464,3.7846999,4.1348,5.4790001,5.5992999,1.4292001,1.1773,4.5040002,5.1375999,,,1.7690001,1.5254,1.6707,3.2974,1.9894,3.6161001,3.9031,1.2115,0.80010003,11.511,,2.3067,5.6462002,5.0422001,1.7076,1.34,1.7762001,1.0309,3.4893,12.6706,,9.2925997,3.9359,1.9871
1.7046,1.4888999,1.2946,,1.4755,6.2588,4.2413001,5.5194998,5.7118001,1.4547,1.2029001,5.0166001,5.4582,,,1.8112,1.5575,1.7067,3.3903,6.4489002,3.6981001,4.0065999,1.2355,0.82069999,11.6934,,2.3845,5.7333999,5.1080999,1.7421,1.3658,1.8151,1.0518,3.6015999,12.7538,,9.5586004,4.0523,2.0359001
1.7582,1.5215,1.3178999,,1.5029,6.6040001,4.3051,5.6121998,5.7996001,1.4829,1.2307,5.447,5.6382999,,,1.8401999,1.5868,1.7446001,3.4532001,6.5559001,3.7848001,4.2059002,1.2604001,0.84030002,11.8584,,2.4559,5.8127999,5.2427001,1.7795,1.3938,1.8547,1.0724,3.8459001,12.8269,,9.8016005,4.3541999,2.0832
1.8239,1.5598,1.3405,,1.5383,6.7167001,4.4039998,5.6984,5.8473001,1.5118001,1.2535,12.4995,5.8867998,,,1.8706,1.6162,1.7852,3.5409,6.7518001,3.8585999,4.3534999,1.2858,0.85970002,11.9699,,2.5074999,5.9116998,5.3450999,1.8155,1.4184,1.8985,1.0917,4.1043,12.9142,,9.9885998,4.5036001,2.1270001
1.8491,1.5947,1.362,,1.5811,6.8453002,4.5036998,5.7806001,5.9031,1.5470999,1.2773,12.6906,6.099,,,1.9087,1.648,1.8176,3.5987999,7.0067,4.0587001,4.4527998,1.3087,0.875,12.0748,,2.6457,5.9979,5.4489999,1.8504,1.4555,1.9457,1.1115,4.1982999,12.9902,,10.0662,4.6571002,2.1587999
1.8812,1.6276,1.3851,,1.6075,6.9401002,4.5627999,5.9520001,5.9860001,1.5808001,1.3022,12.7599,6.2786002,,,1.9441,1.6787,1.8516001,3.6524,7.1546001,4.1451001,4.5552001,1.3358001,0.89420003,12.1752,,2.7047999,6.0883002,5.5383,1.8907,1.4766001,1.9875,1.131,4.3052001,13.081,,10.1022,4.8516002,2.1956
1.9134001,1.6619,1.4099,,1.6372,7.0545998,4.6615,6.0672002,6.0942001,1.6193,1.3279999,12.8563,6.4401999,,,1.9811,1.7114,1.8782001,3.7405,7.3016,4.2473001,4.7070999,1.3644,0.91000003,12.2888,,2.7988,6.1820998,5.6420002,1.9287,1.5061001,2.7544999,1.1596,4.4078002,13.1517,,10.2964,5.0959001,2.2293
1.9495,1.6866,1.4324,,1.6691,7.2051001,4.7315998,6.1462998,6.145,1.6634001,1.3526,13.0044,6.5967999,,,2.5987999,1.7446001,1.9119,3.8069999,7.4523001,4.4408998,4.7546,1.4004,0.92500001,12.3802,,2.8619001,6.3041,5.7540002,1.9657,1.5289,2.905,1.2012,4.5033998,13.2072,,10.4057,5.2922001,2.27
2.0032001,1.7103,1.4553,,1.698,7.3554001,4.8095002,6.2498002,6.2077999,1.6964999,1.3776,13.0649,6.7905998,,,2.79,1.777,1.9442,3.8870001,7.5556002,4.5253,4.8541002,1.4227999,0.94379997,12.4644,,2.9414999,6.3811002,5.8470001,2.0021999,1.549,3.053,1.2283,4.5994,13.2931,,10.5833,5.4963999,2.3074
